Year,AUM_SEK_m,Net_Transfer_SEK_m,Investment_Income_SEK_m,Return_percent
2005,187300,2900,27600,17.5
2006,207100,1700,18200,9.8
2007,218800,2000,9700,4.8
2008,171600,900,-48000,-21.7
2009,202300,-3900,34600,20.4
2010,218800,-4000,20500,10.3
2011,213300,-1200,-4200,-1.7
2012,233700,-3800,24200,11.4
2013,252500,-6900,25700,11.3
2014,283800,-5100,36400,14.6
2015,290200,-4900,11300,4.0
