Year,AUM_SEK_m,Net_Transfer_SEK_m,Investment_Income_SEK_m,Return_percent
2001,131600,4500,-6900,-5.0
2002,113600,5000,-23000,-16.8
2003,135500,2600,19300,17.0
2004,151400,1700,14300,10.6
2005,180100,2900,25800,16.9
2006,200500,1700,18800,10.5
2007,207300,2000,4800,2.5
2008,164700,900,-43500,-20.8
2009,195700,-3900,34900,21.5
2010,212800,-4000,21200,10.9
2011,210000,-1200,-1600,-0.7
2012,229600,-3800,23400,11.2
2013,259700,-6900,37000,16.4
2014,294900,-5100,40200,15.7
2015,310000,-4900,20100,6.8
2016,333900,-6600,30500,10.0
2017,356600,-7400,30100,9.1
2018,349300,-6800,-500,-0.2
2019,418000,-6500,75200,21.7
2020,423000,-7900,39300,9.6
2021,502300,-7500,86800,19.2
2022,468400,-4700,-62200,-11.9
2023,499600,-4800,43900,9.6
