Year,AUM_SEK_m,Net_Transfer_SEK_m,Investment_Income_SEK_m,Return_percent
2003,142500,2600,5600,16.2
2004,160300,1700,16200,11.2
2005,192000,2900,28800,17.7
2006,212200,1700,18200,9.5
2007,224900,2000,10700,5.0
2008,181000,900,-44800,-19.8
2009,206500,-3900,29400,16.3
2010,220800,-4000,18300,9.0
2011,214100,-1200,-5500,-2.5
2012,233000,-3800,22600,10.7
2013,258500,-6900,32400,14.1
2014,288300,-5100,35000,13.7
2015,303000,-4900,19600,6.8
2016,324400,-6600,28000,9.4
2017,345200,-7400,28200,8.8
2018,340700,-6800,2200,0.6
2019,393700,-6500,59500,17.6
2020,423000,-7900,37200,9.7
2021,502300,-7500,86800,20.7
2022,468400,-4700,-29200,-5.8
2023,499800,-4800,36200,7.8
